02000C34  [SDK+Abiosso:libVCT 1.3.1]
020C9703   !!!""###$$%%&&&''(())**++,,--..//00112334456677899:;;<=>>?@@ABCCDEFGGHIJKLMMNOPQRSTUVWXYZ[\]^_`bcdefgijklmopqstuwxy{|~~@ABCCDEFGGHIJKLLMNOPQRSTUVWXYZ[\]^_`abdefghiklmnpqrtuvxy{|}~@ABBCDEFFGHIJKKLMNOPQRSTUVWXYZ[\]^_`abcefghijlmnoqrsuvwyz|}~
020C98F0   !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
020C9970   !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
020CBDE1   " & 3 ; 
020CFB0C  Map Unit
020CFB3C  Main Menu
020CFB54  Mike Test
020CFB78  Load Menu
020CFB84  Talk Other
020CFBF0  Name Input
020CFC08  Map Effect
020CFC14  Kaneko 2nd
020CFC38  Staff Roll
020CFC44  START : %s
020CFC50  Map Record
020CFC8C  Online Shop
020CFCBC  Friend List
020CFD4C  Preview Map
020CFF14  Dual Effect
020CFF44  Offline Shop
020CFF64  Talk 016-204
020CFF74  Talk 005-015
020CFF94  Preview Face
020CFFC4  Anytime Load
020CFFE4  Sound Player
020D0034  Battle Aging
020D0064  Wi-Fi Utility
020D00B4  My Unit Entry
020D00E4  LR : Round %2d
020D0114  Practice Match
020D0124  Wireless Match
020D0134  Preview Battle
020D0144  Preview Effect
020D01A4  Title Sequence
020D0488  Job Introduction
020D04C4  Wi-Fi World Match
020D0578  Wi-Fi Friend Match
020D05B4  Event Recollection
020D05C8  Event Illustration
020D05F0  Battle Magic Aging
020D0618  Battle Aging(Skip)
020D0640  User Data Initialize
020D0670  Is data initialized?
020D06D0  Win Effect(Kawasaki)
020D0718  Lose Effect(Kawasaki)
020D0810  Battle Magic Aging(Skip)
020D0864  Link Match Record(Kawasaki)
020DBBC8  ALLOC DWCauth
020DBBD8  FREE DWCauth
020DBC08  ALLOC bmwork
020DBC18  FREE bmwork
020DBD80  Nitro WiFi SDK/%d.%d
020DBDE4  ALLOC http->lowrecvbuf
020DBDFC  ALLOC http->lowsendbuf
020DBE44  Content-Length: 
020DBE5C  FREE http->lowrecvbuf
020DBE74  FREE http->lowsendbuf
020DBE8C  POST /%s HTTP/1.0
020DBE9F  Content-type: application/x-www-form-urlencoded
020DBED0  Host: %s
020DBEE0  GET /%s HTTP/1.0
020DBF1C  ALLOC buf->buffer
020DBF30  FREE buf->buffer
020DBF44  ALLOC newptr
020DBF70  ALLOC result->entry[i].label
020DBF90  ALLOC result->entry[i].value
020DBFB0  FREE result->entry[i].label
020DBFCC  FREE result->entry[i].value
020DC008  FREE array_entry[i].label
020DC024  FREE array_entry[i].value
020DC068  ALLOC DWCnetcheck
020DC07C  ALLOC DWChttp
020DC08C  FREE DWChttp
020DC09C  FREE DWCnetcheck->body_302
020DC0B8  FREE DWCnetcheck->body_wayport
020DC0D8  FREE DWCnetcheck
020DC0EC  ALLOC DWCnetcheck->body_302
020DC108  ALLOC url
020DC114  ALLOC data_len
020DC124  ALLOC wait_len
020DC134  ALLOC DWCnetcheck->body_wayport
020DC1D0  FREE url
020DC1DC  FREE data
020DC1E8  FREE wait
020DC1F4  GET / HTTP/1.0
020DC204  Host: conntest.nintendowifi.net
020DC28C  Fri, 03 Mar 2006 01:28:13 GMT
020DC3A4  BE, GlobalSign nv-sa, Root CA, GlobalSign Root CA
020DC4F0  IE, Baltimore, CyberTrust, Baltimore CyberTrust Root
020DC640  US, GTE Corporation, GTE CyberTrust Solutions, Inc., GTE CyberTrust Global Root
020DC728  US, GTE Corporation, GTE CyberTrust Root
020DC7EC  US, Washington, Nintendo of America Inc, NOA, Nintendo CA, ca@noa.nintendo.com
020DC953  7ZA, Western Cape, Cape Town, Thawte Consulting cc, Certification Services Division, Thawte Premium Server CA, premium-server@thawte.com
